가사,감정
너와 함께 하고 싶은 일들을 상상하는 게 요즘 내 일상이 되고 너의 즐거워하는 모습을 보고 있으면 자연스레 따라 웃고 있는 걸 너의 행동에 설레어하고 뒤척이다가 지새운 밤이 많아지는데 이건 누가 봐도 사랑일 텐데 종일 함께면 질릴 텐데 나 돌아서도 온통 너인 건 아무래도 사랑인가 봐 점점 너와 하고 싶은 일들 생각하면서 하룰 보낸 날이 많아지는데 이건 누가 봐도 사랑일 텐데 종일 함께면 질릴 텐데 나 돌아서도 온통 너인 건 아무래도 사랑인가 봐 너의 행복해하는 모습을 보고 있으면 나도 모르게 따라 웃는데 이 정도면 알아줄 만하잖아 너도 용기 낼만 하잖아 나만 이런 게 아니라면 우리 만나볼 만하잖아 아무래도 사랑인가 봐 ,happy
어린 햇살 아래서 뛰어놀곤 했었던 가쁜 숨결 굽이진 골목 지나 길을 따라가보면 같은 기억 어른이란 시간은 아직 어색하게도 나를 채워 많은 게 변했다 해 여긴 그대로인걸 You’ll feel the same 땀에 젖어 놀았던 우리는 너와 난 이젠 돌아갈 순 없지만 낡아진 서랍 속에서 작았던 서롤 기억해 When I’m far from home Always 떠올라 난 아직도 반짝이던 네 두 눈 마주 보던 그림자 마주 보던 우리는 여기 still same 시간은 언제나 날 울리는 존재지만 놓질 못해 많은 게 더 지날 땐 여긴 또 하나의 Our home 그땐 우린 어딜까 낡아진 서랍 속에서 작았던 서롤 기억해 When I’m far from home Always 떠올라 난 아직도 반짝이던 네 두 눈 혼자서 숨겼던 널 향한 마음은 알게 하진 않을 거야 널 볼 수 있다면 그걸로 충분해 담을게 두 눈에 언제든 항상 낡아진 서랍 속에서 작았던 서롤 기억해 When I’m far from home Always 떠올라 난 아직도 반짝이던 네 두 눈 ,happy
떨어질 줄 몰랐던 너의 품도 잡은 손에 스치던 봄바람도 떨리던 입맞춤도 맞춰 걷던 걸음도 내겐 모두 처음이라서 고된 하루 끝을 토닥여 준 것도 작은 편지로 큰 눈물을 준 것도 벚꽃과 여름바다 단풍과 함박눈이 처음이라서 힘든가 봐 나의 첫 사람이 내 첫사랑이 너라서 처음이라서 유난히 아픈가 봐 시간이 지나면 다 무뎌지는 날 언젠가 오겠지 그때까지만 더 아파해볼게 누군가를 위한 노랠 부른 것도 세상에 누군가를 자랑한 것도 너를 떠올리는 게 나를 떠올리는 일이 되는 게 익숙해져 버려서 나의 첫 사람이 내 첫사랑이 너라서 처음이라서 유난히 아픈가 봐 시간이 지나면 널 보며 웃는 날 언젠가 오겠지 그때까지만 더 아파해볼게 사실은 겁이 나 이젠 어딜 가도 너와의 추억만 있을까 봐 그래도 처음이라 힘든 거니까 더 아픈 거니까 처음엔 다 그런 거니까 고생했어 많이 행복했었어 너라서 다 너라서 유난히 좋았나 봐 시간이 지나면 먼 추억이 되어 언젠간 웃겠지 참 좋았어 네가 내 처음이라서 ,sad
분명 나는 꿈을 꾼 거다 눈 떠보니 이별이더라 휴대폰을 확인해 봤더니 다시 봐도 이별이더라 헛웃음만 흘러나왔고 두 다리는 풀려 버렸고 문득 스친 네 얼굴 생각나 눈물이 하염없이 쏟아지는데 대체 무슨 짓을 한 건데 엎질러진 물에 난 젖은 채로 꼼짝 못하고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 눈 떠보니 이별이더라 이건 절대 현실이 아니야 눈 감으면 꿈이 될 거야 애써 부정해봐도 이별이 맞잖아 눈물마저 말라버리고 네 이름만 중얼거리고 움직이지 못하고 웅크린 채 너만 외치고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 꿈만 같던 사랑도 다 이별하면 현실이야 알람 하나 없이 깨어나 한 번만 더 기회를 줘 다시 하면 잘할 텐데 내가 바보 같아 화가 나 참을 수가 없다 그 수많은 이별 뒤에도 당연하게 이별이 온다 정말 가슴을 찢어 놔도 네가 날 짓밟아도 나 아닌 딴 사람과 평생 사랑해도 나는 너 아니면 곤란한데 평생 나는 너 아니면 안 되는데 눈 떠보니 이별이더라 ,sad
내 소식 들었지 너와 헤어지고 참 많이 울고 힘들게 버티다 이해심이 많은 좋은 사람을 만나서 나는 잘 지내고 있어 그런데 이상해 아직 넌 힘들어한다는 얘길 전해 들으니 네가 좀 걱정돼 그녀에게 미안하지만 자꾸 네가 생각나 어떻게 지내 네 안부 참 궁금한데 날 잊고 행복하길 바랬는데 예쁜 사랑 하기를 바랬는데 잘해주지 못한 날 왜 잊지 못하니 들려오는 너의 안부 못 들은 척 지나갈걸 그게 안돼 지금 여자친구 힘들 때 내 곁으로 와 너의 기억을 하나씩 지워줬어 고맙게 나는 나쁜 놈인 가봐 고작 너의 안부에 가슴이 뛰고 왜 눈물이 나는 건데 날 잊고 행복하길 바랬는데 예쁜 사랑 하기를 바랬는데 잘해주지 못한 날 왜 잊지 못하니 들려오는 너의 안부 못 들은 척 지나갈걸 헤어짐을 말한 너를 미워도 하고 후회하며 지내기를 바랬어 널 잊고 행복하게 잘 살았는데 예쁜 사랑 다시 시작했는데 다 잊었다 생각하고 지내왔는데 들려오는 너의 안부에 결국 무너졌어 ,sad
우리 이제 헤어지기로해 너도 알잖아 우린 충분했다는걸 이별이 무서워 자꾸 피해보지만 이젠 정말 끝인걸 우리 사랑이 우리 추억이 이젠 끝나가지만 함께한 기억은 내가 다 가져갈게 끝이란걸 알지만 끝이라고 안할게 내눈에 비친 네 모습이 날 나쁘게 만들어 나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래 혹시 그때의 서로를 조금더 이해했더라면 우린 조금은 달라졌을까 이제와서 이러는 내가 너무 이기적인가봐 내눈에 비친 네 모습이 날 나쁘게 만들어 나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래 우리의 최선은 여기까지인거같아 수고많았어 이젠 널 보낼게 같은 추억속에 우리를 이젠 보내줘야해 애써 그냥 웃으며 아무렇지 않게 널 보낼게 우리 이제 정말 이별을 하려해 많이 아프겠지만 많이 힘들겠지만 혹시 우리가 다시 만나게 되는 날이 다가오면 그땐 꼭 안아줘 많이 보고싶었다고 말해줘 ,sad
Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 아무렇지 않을 너는 이 맘 알고 있을까 두려워 널 보낼 때가 돼버린 걸까 이제 매일 헤매이는 밤 잠들 때마다 미워지지만 괜찮아 하루에도 난 수백 번 고민해 너 없을 때에도 그날 너에게 전할 얘기가 나를 자꾸 괴롭히는 걸 내일이면 다 지워버려야지 이젠 이번에는 널 다 잊을 수 있을까 Forget me close your eyes Forget me close your eyes 돌아보지 않을거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 네가 없는 나의 하루는 어떨진 몰라 근데 자꾸만 내 맘이 조금씩 나도 모르게 흘러가는 걸 그저 서롤 힘들게 굴지 않아도 되는 날에 행복하길 바래 하루에도 난 수백 번 고민해 같이 있을 때에도 지금 너에게 전할 얘기가 너를 더 아프게 하는 걸까 내일이면 다 지워낸 뒤겠지 이젠 이번에는 널 다 잊을 수 있을까 Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 그날이 그립겠지만 잊을 수 없게 됐지만 이제 돌이킬 수 없는 날이 됐지만 같은 시간 속 우린 다른 하룰 그리워하며 흘러가겠지 I just wanna get away with it Forget me close your eyes Forget me close your eyes 같이 나눈 그 순간은 눈 감으면 잊혀질까 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 ,sad
안녕 안녕 이제 인사를 해야지 너와 나의 이별인데 아니 아니 나는 그게 안될것 같아 너를 보내는 일 영활보고 밥을 먹는 일도 손을 잡고 거릴 걷는 일도 앞으로는 혼자란 사실에 그게 나를 울게 만드는걸 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 사실 사실 너도 많이 힘들었겠지 이별을 말하기 조금만 더 참을순 없었니 한번만 더 기횔 줄 순 없니 너에게 난 말하지 못했어 좋은 기억 마저 사라질까봐 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 너무 아파서 소리도 낼 수 없어 너를 어떻게 나 잊겠니 제발 이 말만 듣고 가 진심을 다해 사랑했단 말 잊으라는 건 못해 난 그냥 이게 편해 미안 내 사랑 ,sad
서툰 작별이었는지 아련한 슬픔 속에 눈물이 멈추질 않아 너무나 어렸던 걸까 내 이기적임에 너를 보내고 말았던 걸까 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 서툰 사랑이었을까 나 항상 너에게 없는 사람처럼 느껴질때가 많았어 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 이미 뱉어버린 작별인사 안에서 우리 사랑했던 그 기억들만 아침마다 듣던 네 목소린 이제 어제처럼 오늘도 나에게 널 사랑한다 할 것만 같은데 들리지 않아 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는걸까 내 마음을 알 수 없는게 더 아파 ,sad
지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 깨끗이 지워질 수 있을까 널 벗어날 수 있을까 사랑했던 기억도 다 비워낼 수 있을까 더 이뤄질 수는 없어 난 다가갈 수 없어 미친 듯이 뛰어가 너 없는 곳에 가 사랑은 갔고 남겨진 추억들은 아팠고 네가 내게 남겨줬던 기억은 가시가 됐고 다 사라졌으면 해 모두 지워졌으면 해 나 쉴 수 있게 널 떠날게 가질 수 없는 너란 걸 알고 있어 보낼게 너와의 기억 모두 다 버릴게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 나의 기억에서 떠나가줘 너의 추억들도 가져가 줘 지워줘 너의 그리움까지도 그리워도 그립지는 않게 모든 순간들을 잊어볼게 다 잊을게 너의 작은 흔적까지도 지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 너를 떠날 수밖에 멀어질 수밖에 없으니까 이런 나를 제발 용서해줘 언젠가는 우리 다시 만날 수 있기를 done for me done for me ,sad
그때의 우리 사랑 뜨겁고 치열했는데 끝나보니 남는건 미움뿐 몇번의 계절을 더 보내야 괜찮아 질까 미련이 듬뿍 남은 하루를 보내 친구들과 통화에 우연히 들은 니 소식 다른 사랑을 시작해 잘 지낸다고 한땐 소중했었고 많이 사랑했었던 우리둘은 이젠 남이 됐고 모르는 사람이야 넌 완벽히 잊었나봐 이렇게 넌 잘사는데 괜한 걱정을 했나봐 나만 힘든가봐 너도 내 소식을 전해 들었으면 좋겠어 아직은 좀 힘들어 한다는 미안한 마음갖고 가끔씩 날 생각해줘 그래야 내 맘이 좀 편할거 같아 니옆에 다른 사람 있다는게 참 낯설어 뭔지 모를 서운함은 이기적인 거니 한땐 소중했었고 많이 사랑했었던 우리둘은 이젠 남이 됐고 모르는 사람이야 넌 완벽히 잊었나봐 이렇게 넌 잘사는데 나만 끝을 미뤘나봐 나만 그랬나봐 솔직한 맘을 말하면 좋은 사랑 안했으면 해 가슴아프게 지내길 바랬어 너는 행복하겠지 많이 설레이겠지 나 없이도 웃는 니 모습에 이제야 실감이나 넌 완벽히 떠났나봐 확실히 날 떠났나봐 난 니가 너무 미워져 행복하지 말아줘 잘지내지 말아줘 좋은 사람 만나 다행이란 말은 거짓말이야 네 소식 들은 그날밤 펑펑 울다가 밤을 샜어 늦어버린걸 알지만 어쩔수 없나봐 ,sad
한잔 술에 잊자 그만 나도 숨 좀 쉬자 제발 마치 주문처럼 매일 읊조렸던 넌 모르는 내 슬픈 혼잣말 친구들 통해 들은 네 소식 너무 잘 살고 있어 날 만날 때보다 더 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘 살고 있다 너처럼 두려워 듣기 싫던 네 소식 막상 듣게 되니 또 이별한 듯이 아파 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘살고 있다 너처럼 너 없는 많은 밤들이 혼자 버틸 날들이 아직 너무 많은데 가끔은 너 철없던 나의 장난에 입꼬리 올라가던 그 미소가 그리워 가진 건 없지만 널 가진 게 전부였어 그래서 무너졌나 봐 너밖에 없었으니까 언젠간 나도 나만 사랑해줄 사람 만나 잘 살고 싶다 너처럼 나도 그럴 수 있을까 ,sad
오늘이 지나면 널 지워야겠지 흔들리는 이 술잔이 너의 마음 같아서 아무 말 안 해도 난 알 수가 있어 오늘 넌 이별을 말할 것 같아 하필 왜 이 포장마차니 우리 처음 만났던 이 자리에서 왜 눈물 나게 해 이 술잔을 마시고 나면 넌 이별을 말할 것만 같아 제발 이러지 마 나를 떠나지 마 다 소용없는 거잖아 이 술잔을 마시고 나면 너 혼자만 끝인 거잖아 우리가 왜 헤어져야 해 이 술잔을 비우지 마 제발 하필 왜 이 포장마차니 우리 매일 만났던 그 자리에서 왜 눈물 나게 해 이 술잔을 마시고 나면 넌 이별을 말할 것만 같아 제발 이러지 마 나를 떠나지 마 다 소용없는 거잖아 이 술잔을 마시고 나면 너 혼자만 끝인 거잖아 우리가 왜 헤어져야 해 이 술잔을 비우지 마 제발 이 한잔의 술잔을 마시면 난 너 없이 살아갈 수 있을까 이제 우린 남이 되겠지 이 술잔을 마시고 나면 이 한잔에 끝낼 거라면 넌 사랑을 말하면 안 되잖아 그때 왜 그랬어 날 왜 사랑했어 어차피 남이 될 거잖아 이 술잔을 마시고 나면 너 혼자만 끝인 거잖아 우리가 왜 헤어져야 해 이 술잔을 비우지 마 제발 ,sad
내가 너라면 다 알아볼 텐데 널 위할 사람 찾아낼 텐데 지난 오랜 시간 너의 그 곁을 지켜온 나라는 걸 내가 너였다면 참 행복할 텐데 한 사람을 다 가졌으니까 둔한 바보도 눈치챌 그 사랑을 너만 왜 모르니 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 네가 나라면 더 참 아팠을 텐데 슬픈 역할은 내가 맡을게 웃는 모습만 보이며 살아가 줘 내가 볼 수 있게 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 한 걸음 더 다가갈까 더 가까이 네게 갈까 OH 어제보다 더 내일 더 널 사랑해 I’ll make you love me someday 혼자 바라고 바라만 보다 울컥 그리움이 솟는다 바보 같은 맘에 하지 못한 그 한마디 널 사랑한다는 말 얼마나 그리고 그리워해야 내 맘 너의 곁에 닿게 될까 매일 하루 종일 너의 생각에 사무쳐 너무 보고 싶다 ,sad
자꾸만 연락을 피하고 바쁘다며 약속을 미루고 점점 변해가는 네 모습 무심한 말투 조금씩 넌 반대로 가고 있어 다급했던 이별의 순간들 아직도 난 거짓말 같아서 아름답게 웃던 네 모습 볼 수 없다고 생각하면 미칠 듯 아픈데 자꾸만 생각이나 너무나도 사랑했었고 그런 내겐 전부였는데 이젠 너와 난 반대로 살고 있나 봐 사랑해 너밖에 없단 말 그 말 너무나도 그리워서 너를 보낼 수가 없나 봐 너를 저 멀리 보이는 네 모습 웃고 있는 넌 잘 지냈나 봐 찾아가지 말걸 그랬어 믿고 싶었는데 영화 같은 일 내겐 없나 봐 나를 다 잊은 거니 너무나도 사랑했었고 그런 내겐 전부였는데 이젠 너와 난 반대로 살고 있나 봐 사랑해 너밖에 없단 말 그 말 너무나도 그리워서 너를 보낼 수가 없나 봐 행복해 보여 나 없이도 잘 지내는데 어떻게 난 널 잊고 살 수 있을까 웃으며 내 품에 안긴 너 너의 모습이 죽을 만큼 그리워서 보낼 수가 없잖아 너를 ,sad
비 내리는 날 창가에 앉아 서두르던 일상을 달래다 울적해진 마음잡고 써 내려가다 울컥 눈물만 헤어진단 게 낯설기만 해 하루하루를 그저 버티다가 누군가 내게 네 얘길 물을 때면 울컥 눈물만 어두워지면 밤하늘을 헤매다 잠시 잊었던 혼자라는 생각에 밤새 뒤척이다 네 생각에 잠 못 드는 날엔 그저 눈물만 다른 사람을 만난다면 그땐 꼭 바랄게 나보단 너를 더 이해하길 우리 뜨겁게 사랑했던 기억 모두 다 지우고 만난 적 없었던 것처럼 Oh You Oh You 마치 우린 없었던 사이 어두워지면 밤하늘을 헤매다 잠시 잊었던 혼자라는 생각에 밤새 뒤척이다 네 생각에 잠 못 드는 날엔 그저 눈물만 다른 사람을 만난다면 그땐 꼭 바랄게 나보단 너를 더 이해하길 우리 뜨겁게 사랑했던 기억 모두 다 지우고 만난 적 없었던 것처럼 그렇게 뱉어놓은 그 많은 말들은 없어 마치 우린 없었던 사이 다른 사람을 만난다면 그땐 꼭 바랄게 나보단 너를 더 이해하길 우리 뜨겁게 사랑했던 기억 모두 다 지우고 만난 적 없었던 것처럼 Oh You 마치 우린 없었던 사이 ,sad
혼자 이별을 하고 가버리면 난 어떡하라고 너 없는 하루를 살아보고 너 없는 채로 잠들어본다 잊을 수 있다고 다짐을 해 보고 다 잊은 척 웃어도 보고 별일 아닌 듯 혼자 영화도 보고 너의 빈자릴 채워 본다 가끔 보고 싶어 견디기 힘들면 나 하루 종일 너를 찾아 헤매보고 손잡고 걷던 거리에 우두커니 서서 혹시 니가 올까 가슴 설레 본다 잘 살 수 있다고 다짐을 해 보고 태연한 척 웃어도 보고 드라마처럼 혼자 취해도 보고 널 잊으려고 하면 할수록 너무 보고 싶어 견디기 힘들어 비틀거리며 너를 또 찾아 헤매고 나란히 걷던 이 길에 나만 혼자 남아 눈물 삼키면서 너를 기다린다 날 그토록 사랑해주던 너란 사람은 어디까지 간거니 너무 보고 싶어 견디기 힘들어 오늘따라 난 니가 너무 보고 싶어 나 술에 취한 채 추억에 취한 채 비틀거리면서 너를 기다린다 다시 너를 기다린다 ,sad
더는 할 말이 없어 다른 이유도 어떤 변명도 난 의미 없단 걸 알아 끝이란 게 다 그렇잖아 더는 물어보지 마 언제부턴지 왜 그런 건지 난 그저 함께한 이 모든 게 힘들었다고 말하잖아 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 나에게 그 모든 게 더는 너에게 말할 수 없는 상처로 남아 내겐 그 모든 게 다 부담이 돼 그렇게 내게 말하지 마 나도 내 맘을 어쩔 수 없는 걸 오늘까지도 많이 힘들었단 걸 너는 알고 있잖아 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 나에게 그 모든 게 더는 너에게 말할 수 없는 상처로 남아 내겐 그 모든 게 다 처음엔 나도 아무렇지 않았어 깊어지면 질수록 너에 품에서 문득 끝이라는 게 너무 두려워서 애써 괜찮은 척만 또 난 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 미안해 이해해줘 더는 너에게 말할 수 없는 그 모든 것이 내겐 부담이 돼 마주하는 지금에도 난 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 미안해 이런 나를 이해해줘 쉽지 않을 걸 알지만 더는 할 수 없는 걸 이 모든 게 ,sad
널 보면 나와 달라 이렇게 난 네 생각뿐인데 널 사랑했던 만큼 아파야 하는 걸까 난 이 밤의 끝을 잡고 잠 못 드네 차가웠던 시간이 다 지나가면 따스한 저 햇살들이 날 비춰 줄까 결국 우린 끝난 사이라 하지만 돌아올 것만 같았어 널 보면 나와 달라 왜 나만 또 네 생각뿐인데 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠이 드네 네가 날 떠나고 후회한 나잖아 지금 넌 아무렇지 않을까 그 차가운 바람이 불어오는 게 난 무서워 다시 안을 수 있다면 난 다 할 텐데 너 없는 밤 아프게 지워가지만 내 맘은 널 그리워해 널 보면 나와 달라 누가 그래 넌 나와 같다고 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠 못 드네 I'll always be with you all night 함께 했던 추억뿐이지만 난 이제 너를 모두 지울래 내 맘이 너무 아파서 널 보면 나와 달라 아직도 난 널 사랑하나 봐 그래 너라도 정말 행복하면 좋겠어 난 이 밤의 끝을 잡고 잠 못 드네 째깍 째깍 초침 소리 시간은 또 흐르는데 넌 어디에 있니 ,sad
멍하니 아무 일도 할 일이 없어 이게 이별인 거니 전화기 가득 찬 너와의 메시지만 한참 읽다 읽다 너의 목소리 마치 들린 것 같아 주위를 둘러보면 내 방엔 온통 너와의 추억투성이 이제야 눈물이 수고했어 사랑 고생했지 나의 사랑 우리 이별을 고민했던 밤 서로를 위한 이별이라고 사랑했단 너의 말을 믿을게  혹시 너무 궁금해 혹시 너무 그리우면 꼭 한 번만 보기로 해  너의 뒷모습 사라질 때까지 봤어 마지막이라서 나 먼저 떠나면 어깨 들썩여 우는 내 뒷모습 싫어서 수고했어 사랑 고생했지 나의 사랑 우리 이별을 고민했던 밤 서로를 위한 이별이라고 사랑했단 너의 말을 믿을게  혹시 너무 궁금해 혹시 너무 그리우면 꼭 한 번만 보기로 해  좀더 예뻐져도 훨씬 더 세련되져도 후회하지 마 나를 놓친걸 누군가 딴 사람 만나면 내게 들리도록 막 자랑해줘  그때서야 끝낼게 내게 돌아올지 모를 너를 꿈꾸는 그 밤을 할말 끝 안녕 내 사랑     ,sad
